fileName, Machine, NumberOfSections, TimeDateStamp, PointerToSymbolTable, NumberOfSymbols, SizeOfOptionalHeader, Characteristics, Signature, OptionalMagic, MajorLinkerVersion, MinorLinkerVersion, SizeOfCode, SizeOfInitializedData, SizeOfUninitializedData, AddressOfEntryPoint, BaseOfCode, ImageBase, SectionAlignment, FileAlignment, MajorOperatingSystemVersion, MinorOperatingSystemVersion, MajorImageVersion, MinorImageVersion, MajorSubsystemVersion, MinorSubsystemVersion, SizeOfImage, SizeOfHeaders, CheckSum, Subsystem, DllCharacteristics, SizeOfStackReserve, SizeOfStackCommit, SizeOfHeapReserve, SizeOfHeapCommit, LoaderFlags, NumberOfRvaAndSizes, ExportSize, ResourceSize, DebugSize, VirtualAddress, VirtualSize, VirtualSize2, GeneratedCheckSum, IATRva ,Label
asr_pfu.exe,332,3,1208111618,0,0,224,271,17744,267,7,10,28672,8704,0,9845,4096,16777216,4096,512,5,1,5,1,4,0,45056,1024,37772,2,32768,262144,4096,1048576,4096,0,16,0,1056,28,4096,28282,6740,37772,30724,clean
at.exe,332,4,1247528260,0,0,224,258,17744,267,9,0,16384,11776,0,14975,4096,16777216,4096,512,6,1,6,1,6,1,36864,1024,54812,3,33088,262144,8192,1048576,4096,0,16,0,2072,28,4096,16162,7228,54812,18228,clean
AtBroker.exe,332,4,1247530436,0,0,224,258,17744,267,9,0,23552,5632,0,8739,4096,16777216,4096,512,6,1,6,1,6,1,40960,1024,84681,2,33088,262144,8192,1048576,4096,0,16,0,1360,28,4096,23210,1792,84681,25052,clean
atmadm.exe,332,3,1208112688,0,0,224,271,17744,267,7,10,4608,14848,0,7293,4096,16777216,4096,512,5,1,5,1,4,0,32768,1024,33961,3,32768,262144,4096,1048576,4096,0,16,0,4696,28,4096,4544,9292,33961,7832,clean
attrib.exe,332,4,1247526901,0,0,224,258,17744,267,9,0,11776,4096,0,10633,4096,16777216,4096,512,6,1,6,1,6,1,28672,1024,73962,3,33088,262144,8192,1048576,4096,0,16,0,2016,28,4096,11266,896,73962,11876,clean
audiodg.exe,332,7,1290248824,0,0,224,258,17744,267,9,0,89600,9728,512,44227,4096,16777216,4096,512,6,1,6,1,6,1,122880,1536,119595,2,33088,262144,8192,1048576,4096,0,16,0,2088,56,4096,88840,153,119595,88356,clean
audit.exe,332,4,1290243087,0,0,224,258,17744,267,9,0,57344,10240,0,31411,4096,16777216,4096,512,6,1,6,1,6,1,77824,1024,106946,2,33088,262144,8192,1048576,4096,0,16,0,4072,28,4096,57278,1176,106946,57580,clean
auditpol.exe,332,4,1247528061,0,0,224,258,17744,267,9,0,41984,7680,0,37829,4096,16777216,4096,512,6,1,6,1,6,1,61440,1024,104901,3,33088,1048576,24576,1048576,4096,0,16,0,2032,28,4096,41974,2472,104901,42908,clean
auditusr.exe,332,3,1208111504,0,0,224,271,17744,267,7,10,11776,1536,0,13683,4096,16777216,4096,512,5,1,5,1,4,0,24576,1024,60955,3,32768,262144,4096,1048576,4096,0,16,0,992,28,4096,11550,128,60955,14244,clean
autochk.exe,332,4,1290242721,0,0,224,258,17744,267,9,0,417280,251392,0,60385,4096,16777216,4096,512,6,1,6,1,6,1,679936,1024,720990,1,320,262144,8192,1048576,4096,0,16,0,229168,28,4096,416904,12608,720990,418156,clean
