file_path,check_sum ,  generated_check_sum ,  compile_date ,  debug_size ,  export_size ,  iat_rva ,  major_version ,  minor_version ,  number_of_bound_import_symbols ,  number_of_bound_imports ,  number_of_export_symbols ,  number_of_import_symbols ,  number_of_imports ,  number_of_rva_and_sizes ,  number_of_sections ,  pe_warnings ,  std_section_names ,  total_size_pe ,  virtual_address ,  virtual_size ,  virtual_size_2 ,  datadir_IMAGE_DIRECTORY_ENTRY_BASERELOC_size ,  datadir_IMAGE_DIRECTORY_ENTRY_RESOURCE_size ,  datadir_IMAGE_DIRECTORY_ENTRY_IAT_size ,  datadir_IMAGE_DIRECTORY_ENTRY_IMPORT_size ,  pe_char ,  pe_dll ,  pe_driver ,  pe_exe ,  pe_i386 ,  pe_majorlink ,  pe_minorlink ,  sec_entropy_data ,  sec_entropy_rdata ,  sec_entropy_reloc ,  sec_entropy_text ,  sec_entropy_rsrc ,  sec_rawptr_rsrc ,  sec_rawsize_rsrc ,  sec_vasize_rsrc ,  sec_raw_execsize ,  sec_rawptr_data ,  sec_rawptr_text ,  sec_rawsize_data ,  sec_rawsize_text ,  sec_va_execsize ,  sec_vasize_data ,  sec_vasize_text ,  size_code ,  size_image ,  size_initdata ,  size_uninit,Label
Taek.1275.Win32.Virus.ex_,0,22566,2049124419,0,0,12288,0,0,0,0,0,0,0,16,5,0,0,6144,4096,4096,4096,24,0,0,198,33166,0,0,1,1,2,25,0,0,0,0,0,0,0,0,3584,0,0,0,0,17659,0,0,512,24576,1536,0,malware
Cornad.Win32.Virus.ex_,0,34335,163262167,0,0,12288,0,0,0,0,0,0,0,16,4,0,0,4096,4096,4096,4096,92,0,0,388,33166,0,0,1,1,2,25,0,0,0,0,0,0,0,0,2048,0,0,0,0,16384,0,0,512,20480,1536,0,malware
Yangin.Win32.Trojan.ex_,57028,57028,977922057,0,0,26868,1,0,0,0,0,0,0,16,3,0,0,45056,4096,23948,2820,0,11236,256,40,271,0,0,1,1,6,0,0,0,0,0,0,0,0,0,40960,0,0,0,0,38004,0,0,24576,45056,16384,0,malware
Revenge.Win32.Trojan.ex_,15049,15049,903784128,0,0,16384,1,0,0,0,0,0,0,16,5,0,0,13824,4096,6676,2680,568,2072,200,40,270,0,0,1,1,4,20,0,0,0,0,0,0,0,0,12800,0,0,0,0,13300,0,0,7168,28672,8192,0,malware
KillFiles.a.Win32.Virus.ex_,85339,69094,998081664,28,0,25304,5,1,0,0,0,0,0,16,3,1,0,59392,4096,23953,908,0,29700,520,180,271,0,0,1,1,7,0,0,0,0,0,0,0,0,0,58368,0,0,0,0,58589,0,0,24064,69632,31744,0,malware
Samsa.aa.Win32.Trojan.ex_,0,68264,1128328855,0,0,42172,0,0,0,0,0,0,0,16,3,0,0,53302,4096,35327,2578,0,0,244,80,271,0,0,1,1,6,0,0,0,0,0,0,0,0,0,49152,0,0,0,0,48297,0,0,36864,57344,16384,0,malware
Codbot.ad.Win32.Backdoor.ex_,84952,53331,1117491526,0,0,53252,0,0,0,0,0,0,0,16,2,1,0,51202,4096,48044,4096,0,0,0,86,271,0,0,1,1,6,0,0,0,0,0,0,0,0,0,49664,0,0,0,0,52140,0,0,48128,57344,0,0,malware
Wimail.Win32.Trojan.ex_,31155,31155,906754666,0,0,24576,1,0,0,0,0,0,0,16,5,0,0,19456,4096,12676,2552,1032,2024,256,40,270,0,0,1,1,4,20,0,0,0,0,0,0,0,0,18432,0,0,0,0,19810,0,0,12800,36864,7680,0,malware
Project.Win32.Trojan.ex_,61830,42594,948943691,0,0,12288,1,0,0,0,0,0,0,16,5,0,0,8704,4096,2724,2532,264,2240,140,40,270,0,0,1,1,4,20,0,0,0,0,0,0,0,0,7680,0,0,0,0,8652,0,0,3072,24576,6656,0,malware
Gloria.2820.Win32.Virus.ex_,0,76482,3038324802,0,0,20480,0,0,0,0,0,0,0,16,4,1,0,16384,4096,12288,4096,404,0,0,208,33166,0,0,1,1,2,25,0,0,0,0,0,0,0,0,14336,0,0,0,0,24576,0,0,9728,28672,4608,0,malware
Gbot.e.Win32.Backdoor.ex_,0,119072,1009237745,0,127,67920,0,0,0,0,0,0,0,16,5,0,0,106496,4096,61128,5247,4988,960,576,160,8462,1,0,0,1,6,0,0,0,0,0,0,0,0,0,102400,0,0,0,0,103049,0,0,61440,118784,53248,0,malware
AddShare.a.Win32.Trojan.ex_,0,72798,961880741,0,0,35352,0,0,0,0,0,0,0,16,4,0,0,45056,4096,24956,3726,0,928,212,40,271,0,0,1,1,6,0,0,0,0,0,0,0,0,0,40960,0,0,0,0,37842,0,0,28672,53248,20480,0,malware
Vck.3037.Win32.Virus.ex_,0,105808,2054629145,0,0,49152,0,0,0,0,0,0,0,16,4,1,0,48128,4096,40960,4096,12,0,0,84,33166,0,0,1,1,2,25,0,0,0,0,0,0,0,0,45056,0,0,0,0,52701,0,0,40448,56832,1536,0,malware
