FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
accesschk.exe,0,0.0,160516,0,373392,54154,4,702009,33024,579584,1048576,clean
AccessEnum.exe,28,0.0,38408,0,11912,10638,4,224466,0,139264,1048576,clean
accscope.exe,28,0.0,130360,0,2040,2040,3,167111,34144,2560,1048576,clean
accwiz.exe,28,5.1,50472,0,129120,39016,3,220818,32768,168960,262144,clean
acs.exe,28,0.0,377480,0,2720,59618,4,0,0,143360,1048576,clean
actmovie.exe,28,5.1,4984,0,984,36,3,8151,32768,1536,262144,clean
AdapterTroubleshooter.exe,28,6.1,9948,0,28480,924,4,68825,33088,30720,262144,clean
AddInProcess.exe,28,0.0,30684,0,1560,1560,3,42427,34144,2560,1048576,clean
AddInProcess32.exe,28,0.0,30696,0,1568,1568,3,55757,34144,2560,1048576,clean
AddInUtil.exe,28,0.0,31232,0,1536,1536,3,63038,34144,2048,1048576,clean
ADExplorer.exe,28,0.0,385168,0,41752,64512,4,529413,32768,148480,1048576,clean
ADInsight.exe,28,0.0,347676,0,594912,64202,4,1104537,0,749568,1048576,clean
adplus.exe,28,0.0,84712,0,1576,1576,3,105326,34144,2560,1048576,clean
adplusmanager.exe,28,0.0,68148,0,1600,1600,3,97916,34144,2560,1048576,clean
adrestore.exe,0,0.0,30780,0,0,3912,3,209146,0,122880,1048576,clean
agestore.exe,28,6.3,20772,0,2440,1984,5,69401,49472,7680,262144,clean
ahui.exe,28,5.1,65232,0,27856,10440,3,136431,32768,38912,262144,clean
aitagent.exe,28,6.1,99820,0,1280,2748,4,120717,33088,20992,262144,clean
aitstatic.exe,28,6.3,1122924,0,2144,2008,5,1179089,49472,29696,262144,clean
al.exe,84,10.0,197144,0,1476,18428,5,233319,33088,31232,1048576,clean
alg.exe,28,6.1,46724,0,8128,1916,4,97435,33088,13824,262144,clean
appcert.exe,28,0.0,42336,0,2264,2264,3,63285,34112,3072,1048576,clean
appcertui.exe,28,0.0,132296,0,59128,59128,3,258122,34112,59904,1048576,clean
appcmd.exe,28,6.1,98184,48512,2088,5204,4,202908,33088,12288,262144,clean
appidpolicyconverter.exe,28,6.1,82552,0,1848,4524,4,140501,33088,16384,262144,clean
AppLaunch.exe,56,10.0,81920,0,3560,6212,5,156943,33088,15872,1048576,clean
appverif.exe,28,6.3,123828,0,27624,7176,5,211943,49472,47616,262144,clean
ARP.EXE,28,6.1,15804,0,2080,3288,4,65992,33088,7168,262144,clean
asr_fmt.exe,28,5.1,25236,0,4200,568,3,85847,32768,5632,262144,clean
asr_ldm.exe,28,5.1,12428,0,20192,44,3,60153,32768,20992,262144,clean
asr_pfu.exe,28,5.1,30724,0,1056,6740,3,37772,32768,8704,262144,clean
