"FilePath","DebugSize","ImageVersion","IatRVA","ExportSize","ResourceSize","VirtualSize2","NumberOfSections"
"C:/Users/Alina\.AndroidStudio3.1\system\restart\restarter.exe",0,0,74212,0,1328,18454,5
"C:/Users/Alina\.AndroidStudio3.1\system\tmp\jna31807028826501912.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.CLion2018.2\system\cygwin_cmake\bin\cmake.exe",28,0,6184960,0,1256,8872,9
"C:/Users/Alina\.CLion2018.2\system\cygwin_cmake\bin\cpack.exe",28,0,6578176,0,1256,8296,9
"C:/Users/Alina\.CLion2018.2\system\cygwin_cmake\bin\ctest.exe",28,0,7335936,0,1256,9416,9
"C:/Users/Alina\.CLion2018.2\system\tmp\jna8133043226034816571.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.CLion2018.2\system\tmp\winp.x64.9227625827D942DEBC0C1F46F812AE6A.dll",56,0,84172,553,480,29324,6
"C:/Users/Alina\.gradle\native\25\windows-amd64\native-platform.dll",0,0,95248,2989,0,32460,5
"C:/Users/Alina\.gradle\native\jansi\1.14\windows64\jansi.dll",28,0,18320,2641,2732,5793,6
"C:/Users/Alina\.IntelliJIdea2018.2\system\tmp\jna3348212098412729241.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.IntelliJIdea2018.2\system\tmp\winp.x64.9227625827D942DEBC0C1F46F812AE6A.dll",56,0,84172,553,480,29324,6
"C:/Users/Alina\.PhpStorm2018.2\system\tmp\jna8214577410399816143.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.PyCharm2018.2\system\tmp\jna8884088612430173330.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.PyCharm2018.2\system\tmp\winp.x64.9227625827D942DEBC0C1F46F812AE6A.dll",56,0,84172,553,480,29324,6
"C:/Users/Alina\.PyCharm2018.3\system\tmp\jna8016546325914259625.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.PyCharm2018.3\system\tmp\sendctrlc.x64.E4257D768B94C95C4C6D7C260D4F9E8F.exe",56,0,9160,0,480,2106,6
"C:/Users/Alina\.PyCharm2018.3\system\tmp\winp.x64.BD89A6734D0147A7868D1B98DB8EF12D.dll",56,0,117040,654,480,41842,6
"C:/Users/Alina\.PyCharm2019.1\system\tmp\jna6571749505596803049.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.PyCharmCE2018.2\system\tmp\jna804188749442878065.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.PyCharmEdu2018.2\system\tmp\jna6476849070993672046.dll",28,0,219788,3708,936,45738,7
"C:/Users/Alina\.vscode\extensions\ms-python.python-2019.2.5433\pythonFiles\lib\python\ptvsd\_vendored\pydevd\pydevd_attach_to_process\attach_amd64.dll",28,0,304780,122,0,86168,7
"C:/Users/Alina\.vscode\extensions\ms-python.python-2019.2.5433\pythonFiles\lib\python\ptvsd\_vendored\pydevd\pydevd_attach_to_process\attach_x86.dll",28,0,247048,120,0,52528,6
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\aapt.exe",0,1,1589248,49,0,28840,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\aapt2.exe",0,1,2498560,50,0,25940,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\aarch64-linux-android-ld.exe",0,1,1982464,0,0,9420,5
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\aidl.exe",0,1,864256,49,0,25288,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\arm-linux-androideabi-ld.exe",0,1,3883008,0,0,25868,5
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\bcc_compat.exe",0,1,159744,55,0,19160,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\dexdump.exe",0,1,753664,52,0,26888,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\i686-linux-android-ld.exe",0,1,3883008,0,0,25868,5
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\libaapt2_jni.dll",0,1,2838528,344233,0,25908,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\libbcc.dll",0,1,835584,14272,0,23264,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\libbcinfo.dll",0,1,507904,24768,0,19608,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\libclang.dll",0,1,18083840,1533958,0,23664,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\libLLVM.dll",0,1,29675520,2190841,0,26632,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\libwinpthread-1.dll",0,1,77824,4319,1104,60,10
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\llvm-rs-cc.exe",0,1,1318912,55,0,27216,9
"C:/Users/Alina\AppData\Local\Android\Sdk\build-tools\27.0.3\mipsel-linux-android-ld.exe",0,1,1941504,0,0,8980,5
