FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,Label
bfsvc.exe,84,10.0,64524,0,2072,23382,6,clean
explorer.exe,84,10.0,2498352,0,1245096,4,8,clean
HelpPane.exe,84,10.0,485040,0,536416,129220,7,clean
hh.exe,84,10.0,10124,0,7368,3186,6,clean
notepad.exe,84,10.0,128072,0,105696,30048,6,clean
regedit.exe,84,10.0,132944,0,191112,23718,7,clean
splwow64.exe,84,10.0,68656,0,58464,20432,7,clean
twain_32.dll,84,10.0,66092,163,1112,1512,5,clean
winhlp32.exe,84,10.0,16564,0,3320,928,5,clean
write.exe,84,10.0,9692,0,3504,2452,6,clean
AcRes.dll,56,10.0,0,0,317424,317424,2,clean
AcRes.dll.mui,56,10.0,0,0,316564,319488,2,clean
Microsoft.Ink.dll,28,0.0,498724,0,1184,1184,3,clean
Microsoft.Interop.Security.AzRoles.dll,0,0.0,71228,0,960,960,3,clean
srmlib.dll,0,0.0,82728,0,1088,1088,3,clean
Microsoft.Ink.dll,28,0.0,498752,0,1184,1184,3,clean
Microsoft.Interop.Security.AzRoles.dll,0,0.0,71248,0,960,960,3,clean
srmlib.dll,0,0.0,82744,0,1088,1088,3,clean
Microsoft.Ink.Resources.dll,0,0.0,31952,0,1008,1008,3,clean
Microsoft.ManagementConsole.dll,28,0.0,183280,0,1208,1208,3,clean
Microsoft.ManagementConsole.Resources.dll,0,0.0,21416,0,1064,1064,3,clean
Microsoft.PowerShell.Commands.Diagnostics.dll,28,0.0,93204,0,6452,6452,3,clean
Microsoft.PowerShell.Commands.Diagnostics.resources.dll,0,0.0,16092,0,1128,1128,3,clean
Microsoft.PowerShell.Commands.Management.dll,28,0.0,254480,0,32616,32616,3,clean
Microsoft.PowerShell.Commands.Management.Resources.dll,0,0.0,29392,0,1128,1128,3,clean
Microsoft.PowerShell.Commands.Utility.dll,28,0.0,612076,0,51596,51596,3,clean
Microsoft.PowerShell.Commands.Utility.Resources.dll,0,0.0,43248,0,1112,1112,3,clean
Microsoft.PowerShell.ConsoleHost.dll,28,0.0,167336,0,31864,31864,3,clean
Microsoft.PowerShell.ConsoleHost.Resources.dll,0,0.0,36648,0,1096,1096,3,clean
Microsoft.PowerShell.Security.dll,28,0.0,61816,0,8504,8504,3,clean
Microsoft.PowerShell.Security.Resources.dll,0,0.0,14504,0,1080,1080,3,clean
Microsoft.WSMan.Management.dll,28,0.0,269448,0,14184,14184,3,clean
Microsoft.WSMan.Management.resources.dll,0,0.0,18976,0,1072,1072,3,clean
Microsoft.WSMan.Runtime.dll,28,0.0,12244,0,1072,1072,3,clean
MMCEx.dll,28,0.0,414164,0,1120,1120,3,clean
MMCEx.Resources.dll,0,0.0,30252,0,976,976,3,clean
MMCFxCommon.dll,28,0.0,103648,0,1168,1168,3,clean
MMCFxCommon.Resources.dll,0,0.0,10092,0,1000,1000,3,clean
System.Management.Automation.dll,28,0.0,2681320,0,325404,325404,3,clean
System.Management.Automation.Resources.dll,0,0.0,248028,0,1080,1080,3,clean
AuditPolicyGPManagedStubs.Interop.ni.dll,28,0.0,0,0,852,400,4,clean
EventViewer.ni.dll,56,0.0,0,0,1034,11676,4,clean
Microsoft.ApplicationId.RuleWizard.ni.dll,56,0.0,0,0,1326,14376,4,clean
Microsoft.ApplicationId.Framework.ni.dll,56,0.0,0,0,1354,15212,4,clean
Microsoft.Dtc.PowerShell.ni.dll,56,0.0,0,0,1134,4036,4,clean
Microsoft.GroupPolicy.AdmTmplEditor.ni.dll,56,0.0,0,0,1188,13556,4,clean
Microsoft.Isam.Esent.Interop.Wsa.ni.dll,56,0.0,0,0,1270,30876,4,clean
Microsoft.Isam.Esent.Interop.ni.dll,56,0.0,0,0,1254,31564,4,clean
Microsoft.Management.Infrastructure.ni.dll,56,0.0,0,0,1160,13900,4,clean
Microsoft.ManagementConsole.ni.dll,56,0.0,0,0,1204,20444,4,clean
Microsoft.PowerShell.Core.Activities.ni.dll,56,0.0,0,0,1308,41284,4,clean
Microsoft.PowerShell.Utility.Activities.ni.dll,56,0.0,0,0,1324,42532,4,clean
Microsoft.PowerShell.Commands.Diagnostics.ni.dll,56,0.0,0,0,1152,8604,4,clean
Microsoft.PowerShell.Diagnostics.Activities.ni.dll,56,0.0,0,0,1356,12628,4,clean
Microsoft.PowerShell.Activities.ni.dll,56,0.0,0,0,1260,43044,4,clean
Microsoft.PowerShell.Security.Activities.ni.dll,56,0.0,0,0,1340,10500,4,clean
Microsoft.PowerShell.Management.Activities.ni.dll,56,0.0,0,0,1356,47436,4,clean
Microsoft.PowerShell.Workflow.ServiceCore.ni.dll,56,0.0,0,0,1340,49396,4,clean
Microsoft.Security.ApplicationId.PolicyManagement.PolicyModel.ni.dll,56,0.0,0,0,1354,6588,4,clean
Microsoft.Security.ApplicationId.PolicyManagement.PolicyEngineApi.Interop.ni.dll,28,0.0,0,0,1012,1224,4,clean
Microsoft.Security.ApplicationId.PolicyManagement.PolicyManager.ni.dll,56,0.0,0,0,1366,9748,4,clean
Microsoft.Security.ApplicationId.PolicyManagement.Cmdlets.ni.dll,56,0.0,0,0,1330,9764,4,clean
Microsoft.Security.ApplicationId.Wizards.AutomaticRuleGenerationWizard.ni.dll,56,0.0,0,0,1274,13140,4,clean
Microsoft.Security.ApplicationId.PolicyManagement.XmlHelper.ni.dll,56,0.0,0,0,1342,2172,4,clean
Microsoft.Windows.Diagnosis.Commands.UpdateDiagRootcause.ni.dll,56,0.0,0,0,1218,700,4,clean
Microsoft.WSMan.Runtime.ni.dll,56,0.0,0,0,1080,224,4,clean
Microsoft.Windows.Diagnosis.TroubleshootingPack.ni.dll,56,0.0,0,0,1178,2012,4,clean
Microsoft.Windows.Diagnosis.Commands.GetDiagInput.ni.dll,56,0.0,0,0,1186,692,4,clean
Microsoft.Windows.Diagnosis.Commands.WriteDiagProgress.ni.dll,56,0.0,0,0,1210,676,4,clean
Microsoft.Windows.Diagnosis.Commands.WriteDiagTelemetry.ni.dll,56,0.0,0,0,1210,620,4,clean
Microsoft.Windows.Diagnosis.SDHost.ni.dll,56,0.0,0,0,1130,532,4,clean
Microsoft.WindowsSearch.Commands.ni.dll,56,0.0,0,0,1122,1268,4,clean
Microsoft.Windows.Diagnosis.Commands.UpdateDiagReport.ni.dll,56,0.0,0,0,1202,780,4,clean
Microsoft.WSMan.Management.Activities.ni.dll,56,0.0,0,0,1308,15820,4,clean
Microsoft.Windows.Diagnosis.SDCommon.ni.dll,56,0.0,0,0,1138,344,4,clean
MMCEx.ni.dll,56,0.0,0,0,1120,50700,4,clean
MMCFxCommon.ni.dll,56,0.0,0,0,1168,4052,4,clean
mscorlib.ni.dll,56,0.0,0,0,1136,380244,4,clean
napinit.ni.dll,56,0.0,0,0,1126,6020,4,clean
PresentationFramework.ni.dll,56,0.0,0,0,1116,355180,4,clean
PresentationFramework.Aero2.ni.dll,56,0.0,0,0,1164,7668,4,clean
PresentationCore.ni.dll,56,0.0,0,0,1116,176596,4,clean
SecurityAuditPoliciesSnapIn.ni.dll,56,0.0,0,0,1238,9612,4,clean
SrpUxSnapIn.ni.dll,56,0.0,0,0,1150,16084,4,clean
System.ni.dll,56,0.0,0,0,1064,210196,4,clean
System.Configuration.ni.dll,56,0.0,0,0,1128,17084,4,clean
System.Core.ni.dll,56,0.0,0,0,1080,295556,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Management.ni.dll,56,0.0,0,0,1092,16900,4,clean
System.Net.Http.ni.dll,56,0.0,0,0,1084,15332,4,clean
System.Runtime.WindowsRuntime.ni.dll,56,0.0,0,0,1140,23468,4,clean
System.Runtime.WindowsRuntime.UI.Xaml.ni.dll,56,0.0,0,0,1172,1276,4,clean
System.Runtime.Serialization.ni.dll,56,0.0,0,0,1188,50548,4,clean
System.Xaml.ni.dll,56,0.0,0,0,1080,54508,4,clean
System.Xml.ni.dll,56,0.0,0,0,1068,76588,4,clean
System.Xml.Linq.ni.dll,56,0.0,0,0,1084,14212,4,clean
TaskScheduler.ni.dll,56,0.0,0,0,1042,7796,4,clean
