FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
bfsvc.exe,84,10.0,64524,0,2072,23382,6,94125,49504,30208,524288,clean
explorer.exe,84,10.0,2498352,0,1245096,4,8,3996034,49600,1959424,524288,clean
HelpPane.exe,84,10.0,485040,0,536416,129220,7,1065270,49504,699904,524288,clean
hh.exe,84,10.0,10124,0,7368,3186,6,80419,49504,13824,524288,clean
notepad.exe,84,10.0,128072,0,105696,30048,6,306399,49504,151552,524288,clean
regedit.exe,84,10.0,132944,0,191112,23718,7,392296,49504,496640,524288,clean
splwow64.exe,84,10.0,68656,0,58464,20432,7,142608,49504,86016,524288,clean
twain_32.dll,84,10.0,66092,163,1112,1512,5,100098,16704,10240,262144,clean
winhlp32.exe,84,10.0,16564,0,3320,928,5,68804,49472,6656,262144,clean
write.exe,84,10.0,9692,0,3504,2452,6,73697,49504,8704,524288,clean
AcRes.dll,56,10.0,0,0,317424,317424,2,328420,352,317952,262144,clean
AcRes.dll.mui,56,10.0,0,0,316564,319488,2,377478,1344,317440,1048576,clean
Microsoft.Ink.dll,28,0.0,498724,0,1184,1184,3,542738,34112,8192,1048576,clean
Microsoft.Interop.Security.AzRoles.dll,0,0.0,71228,0,960,960,3,124458,34112,8192,1048576,clean
srmlib.dll,0,0.0,82728,0,1088,1088,3,127106,34112,8192,1048576,clean
Microsoft.Ink.dll,28,0.0,498752,0,1184,1184,3,544873,34112,8192,4194304,clean
Microsoft.Interop.Security.AzRoles.dll,0,0.0,71248,0,960,960,3,122836,34144,8192,4194304,clean
srmlib.dll,0,0.0,82744,0,1088,1088,3,152215,34144,8192,4194304,clean
Microsoft.Ink.Resources.dll,0,0.0,31952,0,1008,1008,3,0,34112,8192,1048576,clean
Microsoft.ManagementConsole.dll,28,0.0,183280,0,1208,1208,3,223442,34144,8192,1048576,clean
Microsoft.ManagementConsole.Resources.dll,0,0.0,21416,0,1064,1064,3,0,34112,2048,1048576,clean
Microsoft.PowerShell.Commands.Diagnostics.dll,28,0.0,93204,0,6452,6452,3,165927,34112,12288,1048576,clean
Microsoft.PowerShell.Commands.Diagnostics.resources.dll,0,0.0,16092,0,1128,1128,3,22144,34112,2048,1048576,clean
Microsoft.PowerShell.Commands.Management.dll,28,0.0,254480,0,32616,32616,3,318999,34112,36864,1048576,clean
Microsoft.PowerShell.Commands.Management.Resources.dll,0,0.0,29392,0,1128,1128,3,49895,34112,8192,1048576,clean
Microsoft.PowerShell.Commands.Utility.dll,28,0.0,612076,0,51596,51596,3,710187,34112,57344,1048576,clean
Microsoft.PowerShell.Commands.Utility.Resources.dll,0,0.0,43248,0,1112,1112,3,110355,34112,8192,1048576,clean
